,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,class
0,0.0,0.0,7.69,0.0,15.38,15.38,0.0,23.08,7.69,15.38,0.0,7.69,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,positive
1,22.22,0.0,0.0,0.0,22.22,11.11,0.0,0.0,11.11,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,positive
2,15.38,0.0,0.0,0.0,7.69,7.69,0.0,15.38,0.0,30.77,0.0,7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,positive
3,15.38,0.0,0.0,0.0,15.38,7.69,0.0,0.0,15.38,38.46,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,positive
4,0.0,0.0,0.0,5.88,0.0,0.0,5.88,5.88,0.0,29.41,0.0,11.76,11.76,11.76,0.0,0.0,5.88,5.88,0.0,5.88,positive
5,0.0,0.0,0.0,0.0,0.0,12.5,25.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,positive
6,0.0,0.0,0.0,0.0,15.38,15.38,0.0,23.08,0.0,15.38,0.0,7.69,7.69,0.0,7.69,0.0,0.0,7.69,0.0,0.0,positive
7,0.0,0.0,7.69,0.0,7.69,7.69,0.0,7.69,0.0,23.08,0.0,0.0,7.69,7.69,7.69,0.0,15.38,7.69,0.0,0.0,positive
8,0.0,0.0,0.0,0.0,0.0,0.0,8.33,8.33,25.0,25.0,8.33,0.0,0.0,0.0,0.0,16.67,0.0,0.0,8.33,0.0,positive
9,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,40.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,positive
10,15.38,0.0,0.0,0.0,15.38,7.69,0.0,0.0,15.38,23.08,0.0,0.0,0.0,0.0,0.0,7.69,0.0,15.38,0.0,0.0,positive
11,7.69,0.0,0.0,0.0,0.0,7.69,0.0,7.69,7.69,46.15,0.0,7.69,0.0,0.0,0.0,7.69,0.0,7.69,0.0,0.0,positive
12,7.69,0.0,0.0,0.0,23.08,7.69,0.0,0.0,0.0,38.46,0.0,0.0,7.69,0.0,0.0,15.38,0.0,0.0,0.0,0.0,positive
13,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,28.57,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,positive
14,15.38,0.0,0.0,0.0,7.69,7.69,0.0,0.0,15.38,23.08,0.0,0.0,7.69,0.0,0.0,7.69,0.0,15.38,0.0,0.0,positive
15,8.33,0.0,0.0,0.0,16.67,8.33,0.0,8.33,33.33,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,positive
16,14.29,0.0,0.0,0.0,7.14,14.29,0.0,21.43,0.0,14.29,0.0,0.0,7.14,0.0,0.0,21.43,0.0,0.0,0.0,0.0,positive
17,0.0,0.0,0.0,0.0,7.69,15.38,0.0,0.0,0.0,46.15,0.0,0.0,7.69,0.0,0.0,7.69,7.69,7.69,0.0,0.0,positive
18,7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,46.15,0.0,0.0,7.69,0.0,7.69,15.38,0.0,0.0,0.0,0.0,positive
19,0.0,0.0,7.69,0.0,7.69,7.69,0.0,15.38,7.69,15.38,0.0,7.69,0.0,0.0,0.0,7.69,7.69,7.69,7.69,0.0,positive
20,0.0,0.0,0.0,0.0,22.22,22.22,11.11,33.33,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive
21,0.0,0.0,0.0,0.0,15.38,0.0,0.0,15.38,7.69,15.38,0.0,0.0,7.69,0.0,0.0,23.08,7.69,7.69,0.0,0.0,positive
22,0.0,0.0,0.0,0.0,6.67,6.67,6.67,13.33,6.67,13.33,0.0,13.33,0.0,0.0,6.67,6.67,0.0,6.67,0.0,13.33,positive
23,0.0,0.0,0.0,0.0,25.0,8.33,0.0,8.33,8.33,8.33,0.0,0.0,0.0,8.33,8.33,8.33,0.0,8.33,8.33,0.0,positive
24,0.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,positive
25,0.0,0.0,0.0,0.0,0.0,8.33,0.0,8.33,0.0,41.67,0.0,16.67,8.33,0.0,0.0,8.33,0.0,8.33,0.0,0.0,positive
26,0.0,0.0,0.0,0.0,0.0,8.33,8.33,16.67,8.33,16.67,8.33,0.0,8.33,0.0,8.33,8.33,0.0,0.0,8.33,0.0,positive
27,9.09,0.0,0.0,0.0,18.18,9.09,0.0,27.27,9.09,9.09,0.0,0.0,9.09,0.0,0.0,9.09,0.0,0.0,0.0,0.0,positive
28,23.08,0.0,0.0,0.0,7.69,7.69,0.0,0.0,15.38,38.46,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,positive
29,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,20.0,40.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,positive
30,7.69,0.0,0.0,0.0,30.77,7.69,0.0,0.0,15.38,23.08,0.0,0.0,7.69,0.0,0.0,0.0,0.0,7.69,0.0,0.0,positive
31,0.0,0.0,0.0,0.0,0.0,7.69,0.0,7.69,0.0,46.15,0.0,15.38,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0,positive
